params,mean_test_score,std_test_score
"{'hidden_layer_sizes': (256, 64)}",0.6404997484487673,0.019947348345696638
"{'hidden_layer_sizes': (256, 128, 64, 32)}",0.633025881826821,0.019240004980530034
"{'hidden_layer_sizes': (512, 128, 32)}",0.625549220191179,0.025195042269628702
"{'hidden_layer_sizes': (128, 32)}",0.6195567108278831,0.021100998424238803
"{'hidden_layer_sizes': (512, 256, 128, 64, 32)}",0.6180669685281458,0.0349352937868521
{'hidden_layer_sizes': 64},0.6165856112694952,0.006421726292760533
"{'hidden_layer_sizes': (128, 64, 32)}",0.6128319078763486,0.0169937347560644
{'hidden_layer_sizes': 32},0.6091089496338532,0.013310739122293372
"{'hidden_layer_sizes': (64, 32)}",0.6008748392867125,0.021472877852082715
